Name,Address1,Address2,phone
The Homestead Community and Learning Centre,30 Whiltshire Drive,ROXBURGH PARK VIC 3064,(03) 9205 2760
Rushworth Community House Inc,67 High Street,RUSHWORTH VIC 3612,(03) 5856 1295
Rye Beach Community Centre,27 Nelson Street,RYE VIC 3941,(03) 5985 4462
Community College Gippsland,55 Raymond Street,SALE VIC 3850,(03) 5144 1666
Sale Neighbourhood House Inc,19-21 Leslie Street,SALE VIC 3850,(03) 5144 5747
Sandybeach Centre,2 Sims Street,SANDRINGHAM VIC 3191,(03) 9598 2155
Belvedere Community Centre Inc,36 Belvedere Road,SEAFORD VIC 3198,(03) 9776 8922
Selby Community House Inc,Minak Reserve, via Charles Street,SELBY VIC 3159,(03) 9754 2039
Seymour and District Community House ,47a Anglesey Street,SEYMOUR VIC 3660,(03) 5792 3152
North Shepparton Community and Learning Centre Inc,10–14 Parkside Drive,SHEPPARTON VIC 3630,(03) 5821 5770
Shepparton Access,227 Wyndham Street,SHEPPARTON VIC 3630,(03) 5831 6180
Shepparton ACE College Inc,130 Rowe Street,SHEPPARTON VIC 3630,(03) 5831 4029
South Shepparton Community Centre,11 Service Street,SHEPPARTON VIC 3630,(03) 5821 6172
Simpson and District Community Centre Inc,11 Jayarra Street,SIMPSON VIC 3266,(03) 5594 3448
Sorrento Community Centre,860-868 Melbourne Road,SORRENTO VIC 3943,(03) 5984 3360
Inner Melbourne Vet Cluster ,Level 1, 71 Palmerston Cres,SOUTH MELBOURNE VIC 3205,(03) 9686 2354
Melbourne City Mission,164-180 Kings Way,SOUTH MELBOURNE VIC 3205,(03) 8625 4444
St Kilda Youth Services Inc,62 Pickle Street,SOUTH MELBOURNE VIC 3205,(03) 9696 5340
Gateway Social Support Options ,43 Paxton Street,SPOTSWOOD VIC 3015,(03) 9399 3511
AMES,Cnr Boulton Street &amp; Springvale Road,SPRINGVALE VIC 3171,(03) 9546 0099
SkillsPlus Ltd,128-132 Springvale Rd,SPRINGVALE VIC 3171,(03) 9548 0066
Springvale Indo-Chinese Mutual Assistance Association ,11–13 Morwell Parade,SPRINGVALE VIC 3171,(03) 9547 6161
Springvale Learning and Activities Centre Inc,1 Osbourne Avenue,SPRINGVALE VIC 3171,(03) 9547 2647
Springvale Neighbourhood House Inc,1–3 Lightwood Road,SPRINGVALE VIC 3171,(03) 9574 6399
AMES,16 Victoria Square,ST ALBANS VIC 3021,(03) 9366 0433
Community West,Level 1, 358 Main Road West,ST ALBANS VIC 3201,(03) 8312 2000
Yooralla,1 Andrea Street,ST ALBANS VIC 3021,(03) 9310 8704
St Arnaud Community Resource Centre Inc,85 Napier Street,ST ARNAUD VIC 3478,(03) 5495 1997
St Arnaud Neighbourhood House Inc,34 Alma Street,ST ARNAUD VIC 3478,(03) 5495 3300
Ngwala Willumbong Co-operative,93 Wellington St,ST KILDA VIC 3182,(03) 9510 3233
Port Phillip Community Group - Alma Road Community House,200 Alma Road,ST KILDA EAST VIC 3183,(03) 9525 8746
Stawell Neighbourhood House Inc,42 Sloane Street,STAWELL VIC 3380,(03) 5358 3500
Duke Street Community House,27 Duke Street,SUNSHINE VIC 3020,(03) 9311 9973
YouthNow,Visy Cares Hub, 80B Harvester Road,SUNSHINE VIC 3020,(03) 8311 5800
Murray ACE Swan Hill Inc,429 Campbell Street,SWAN HILL VIC 3585,(03) 5032 3719
Tatura Community House Inc,12–16 Casey Street,TATURA VIC 3616,(03) 5824 1315
The Basin Community House Inc,1221 Mountain Highway,THE BASIN VIC 3154,(03) 9761 0209
SPAN Community House Inc,64 Clyde Street,THORNBURY VIC 3071,(03) 9480 1364
Thornbury Women&#039;s Neighbourhood House,131 Shaftesbury Parade,THORNBURY VIC 3071,(03) 9480 0466
Tongala Community Activities Centre,94 Mangan St,TONGALA VIC 3621,(03) 5859 1268
Tongala Education Centre Inc,Cnr Henderson &amp; Finlay Road,TONGALA VIC 3621,(03) 5859 1100
Community College Gippsland,Shop 2, 32 Church Street,TRARALGON VIC 3844,(03) 5175 0866
Traralgon Neighbourhood Learning House,11–13 Breed Street,TRARALGON VIC 3844,(03) 5174 6199
Coonara Community House,22 Willow Road,UPPER FERNTREE GULLY VIC 3156,(03) 9758 7081
SkillsPlus Ltd,Unit 1, 1174 Burwood Hwy,UPPER FERNTREE GULLY VIC 3156,(03) 8756 0200
Vermont South Community House,Karobran Drive,VERMONT SOUTH VIC 3133,(03) 9803 2335
Wallan and District Community Group Inc,42 Bentnick Street,WALLAN VIC 3756,(03) 5783 1450
Opendoor Neighbourhood House,61 Burke Street,WANGARATTA VIC 3677,(03) 5721 9175
Pangerang Community House,38 Ovens Street,WANGARATTA VIC 3677,(03) 5721 3813
The Centre for Continuing Education,Chisholm Street,WANGARATTA VIC 3677,(03) 5721 0200
Orana Neighbourhood House,62 Coleman Road,WANTIRNA SOUTH VIC 3152,(03) 9801 1895
Warracknabeal Neighbourhood Centre Inc,2 Cox Street,WARRACKNABEAL VIC 3393,(03) 5396 1360
Community College Gippsland,71 Korumburra-Warragul Road,WARRAGUL VIC 3820,(03) 5622 6000
Warragul Community House,138 Normanby Street,WARRAGUL VIC 3820,(03) 5623 6032
Community College Warrnambool,71 Hyland Street,WARRNAMBOOL VIC 3280,(03) 5562 6099
South West Training and Assessment,71 Hyland Street,WARRNAMBOOL VIC 3280,(03) 5560 5254
Wedderburn Community House,24 Wilson Street,WEDDERBURN VIC 3518,(03) 5494 3489
Wendouree Neighbourhood Centre,12-14 Violet Grove,WENDOUREE VIC 3355,(03) 5339 5069
AMES,Level 1, 75–79 Watton Street,WERRIBEE VIC 3030,(03) 8744 0011
Quantin Binnah Community Centre Inc,61 Thames Boulevard,WERRIBEE VIC 3030,(03) 9742 5040
Wyndham Community and Education Centre Inc,3 Princes Highway,WERRIBEE VIC 3030,(03) 9742 4013
Bellarine Living and Learning Centre,20 Worden Court,WHITTINGTON VIC 3219,(03) 5248 1926
Whittlesea Community House Inc,92A Church Street,WHITTLESEA VIC 3757,(03) 9716 3361
Williamstown Community and Education Centre Inc,14 Thompson Street,WILLIAMSTOWN VIC 3016,(03) 9397 7349
Winchelsea Community House,28 Hesse Street,WINCHELSEA VIC 3241,(03) 5267 2028
Albury Wodonga Community College Ltd,63 High Street,WODONGA VIC 3690,(02) 6043 8200
Birallee Park Neighbourhood House Inc,39 Emerald Avenue ,WODONGA VIC 3690,(02) 6059 2590
Felltimber Community Centre,Cnr Melrose Drive &amp; Felltimber Creek Road,WODONGA VIC 3690,(02) 6043 4550
Trudewind Road Neighbourhood House Inc.,44 Quirk Court,WODONGA VIC 3690,(02) 6024 3950
Bass Coast Adult Education Centre,239 White Road,WONTHAGGI VIC 3995,(03) 5672 3115
Community College Gippsland (Wonthaggi),237 White Road,WONTHAGGI VIC 3995,(03) 5672 2004
Woodend Neighbourhood Centre,47 Forest Street,WOODEND VIC 3442,(03) 5427 1845
Wycheproof Community Resource Centre,280 Broadway,WYCHEPROOF VIC 3527,(03) 5493 7455
Upper Yarra Community House Inc,2463 Warburton Highway,YARRA JUNCTION VIC 3797,(03) 5967 1776
Yarraville Community Centre,59 Francis Street,YARRAVILLE VIC 3013,03) 9687 1560 03) 9687 1166
YNH Services Inc,1 Hargrave Court,YARRAWONGA VIC 3730,(03) 5744 3911
Art Resource Collective,19–23 Main Street,YINNAR VIC 3869
Learn for Yourself,224 Danks Street,ALBERT PARK VIC 3206,(03) 9682 5390
Albury Wodonga Volunteer Resource Bureau,596 Hume Street,ALBURY NSW 2640,(02) 6021 0990
CEACA,Old Court House, 38A Downey Street,ALEXANDRA VIC 3714,(03) 5772 1238
Anglesea Community House Inc,Entrance 4, 5 McMillan Street,ANGLESEA VIC 3230,(03) 5263 2116
Otway Health and Community Services,75 McLachlan Street,APOLLO BAY VIC 3233,(03) 5237 8500
Ararat Neighbourhood House,56 Campbell Street,ARARAT VIC 3377,(03) 5352 1551
BRACE Education Training and Employment,32 Tuson Street,ARARAT VIC 3377,(03) 5337 9000
Inclusion Melbourne,65–67 Sutherland Rd,ARMADALE VIC 3143,(03) 9509 4266
Wingate Avenue Community Centre Inc,13A Wingate Avenue,ASCOT VALE VIC 3032,(03) 9376 5244
Alamein Neighbourhood and Learning Centre,49 Ashburn Grove,ASHBURTON VIC 3147,(03) 9885 9401
Bacchus Marsh Community College Inc,229 Main Street,BACCHUS MARSH VIC 3340,(03) 5367 1061
Noweyung Ltd,84 Goold Street,BAIRNSDALE VIC 3875,(03) 5153 0111
Ballan and District Community House,Rear Mechanics Instsitute, 76 Steiglitz Street,BALLAN VIC 3342,(03) 5368 1934
Ballarat Neighbourhood Centre,Ballarat South Community Hub, Tuppen Dr,SEBASTOPOL VIC 3350,(03) 5329 3273
BRACE Education Training and Employment,602 Urquhart Street,BALLARAT VIC 3350,(03) 5337 9000
Conservation Volunteers Australia,Cnr University Drive &amp; Enterprise Grove,MOUNT HELEN VIC 3350,(03) 5444 0777
Futures Community College - Finding Futures,998 Norman Street,BALLARAT VIC 3350,(03) 5339 9551
EDAR,100 Rochester Road,BALWYN VIC 3103,(03) 8851 0806
Baranduda Community Centre,3 Sage Court,BARANDUDA VIC 3691,(02) 6020 8643
Arrabri Community House Inc,42 Allambanan Drive,BAYSWATER NORTH VIC 3153,(03) 9294 7530
Glen Park Community Centre Inc,30 Glen Park Road,BAYSWATER NORTH VIC 3153,(03) 9720 5097 
K.Y.M. (Victoria) Inc.,673 Mountain Highway,BAYSWATER VIC 3153,(03) 9722 5777
Upper Beaconsfield Community Centre ,10–12 Salisbury Road,BEACONSFIELD UPPER VIC 3808,(03) 5944 3484
Beaufort Community House and Learning Centre,72 Neill Street,BEAUFORT VIC 3373,(03) 5349 1184
Beechworth Neighbourhood Centre,30 Ford Street,BEECHWORTH VIC 3747,(03) 5728 2388
Belgrave South Community House,Gilmore Court,BELGRAVE SOUTH VIC 3160,(03) 9754 2274
Waminda Community House,19 Ballintine Street,BENALLA VIC 3672,(03) 5762 4528
Yooralla - Central Access Limited,19 Bridges Street,BENALLA VIC 3672,(03) 5762 9000
Yooralla - Central Access Limited,45 Coster Street,BENALLA VIC 3672,(03) 5761 3555
Bendigo Access Employment and Continuing Education,22 Mclaren Street ,BENDIGO VIC 3550,(03) 5441 2515
BRACE Education Training and Employment,26-28 St Andrews Avenue,BENDIGO VIC 3550,(03) 5337 9000
Continuing Education Bendigo (CEB),22 McLaren Street,BENDIGO VIC 3550,(03) 5430 2100
Loddon Campaspe Multicultural Services,120 McCrae Street,BENDIGO VIC 3550,(03) 5441 6644
Radius Disability Services,9-11 Harcourt Street,BENDIGO VIC 3550,(03) 5443 3826
St Luke&#039;s (Bendigo Neighbourhood House),21 Neale Street,BENDIGO VIC 3550,(03) 5441 2515
Godfrey Street Community House Inc.,9 Godfrey Street,BENTLEIGH VIC 3204,(03) 9557 9037
Moongala Women&#039;s Community House,824 Centre Road,BENTLEIGH EAST VIC 3165,(03) 9570 3468
Beulah Historic Learning and Progress Association,77 Phillips Street,BEULAH VIC 3395,(03) 5390 2200
Avenue Neighbourhood House @ Eley Inc,87 Eley Road,BLACKBURN SOUTH VIC 3130,(03) 9808 2000
Boort Resource and Information Centre,119-121 Godfrey Street,BOORT VIC 3537,(03) 5455 2716
Outer Eastern Literacy Program,C/- Boronia Library Park Crescent,BORONIA VIC 3155,(03) 9762 4211
AMES,34-36 Prospect Street,BOX HILL VIC 3128,(03) 9890 0425
Clota Cottage Neighbourhood House,31 Clota Avenue,BOX HILL VIC 3128,(03) 9899 0062
Rejoice Community Centre,2 Oxford Street,BOX HILL VIC 3128,(03) 9888 7422
Yooralla,12 Rutland Road,BOX HILL VIC 3128,(03) 9897 4869
Briagolong Community House,Briagolong Mechanics&#039; Inst. Hall, 9–11 Avon St ,BRIAGOLONG VIC 3860,(03) 5145 5425
Bright Adult Education Committee,2b Railway Avenue,BRIGHT VIC 3741,(03) 5750 1243
Broadford Community Centre Incorporated,158-162 High Street,BROADFORD VIC 3658,(03) 5784 2043
Banksia Gardens Community Centre,71-81 Pearcedale Parade,BROADMEADOWS VIC 3047,(03) 9309 8531
Brite Institute (Victorian Vocational Rehabilitation Association),Cnr Belfast Street and Dallas Drive,BROADMEADOWS VIC 3047,(03) 9481 6422
Dallas Neighbourhood House,180-182 Widford Street,BROADMEADOWS VIC 3047,(03) 9302 2095
Australian Greek Welfare Society Limited,7 Union Street,BRUNSWICK VIC 3056,(03) 9388 9998
Brunswick Neighbourhood House,43A De Carle Street,BRUNSWICK VIC 3056,(03) 9386 9418
CERES,Cnr Roberts &amp; Stewart Street,EAST BRUNSWICK VIC 3057,(03) 9389 0124
Buchan Neighbourhood House,6 Centre Road,BUCHAN VIC 3885,(03) 5155 9216
Corangamite District Adult Education Group Inc,158 Manifold Street ,CAMPERDOWN VIC 3260,(03) 5593 2920
Carlton Neighbourhood Learning Centre Inc,20 Princes Street,NORTH CARLTON VIC 3054,(03) 9347 2739
North Carlton Railway Station Neighbourhood House,20 Solly Avenue,PRINCES HILL VIC 3054,(03) 9380 6654
Lyrebird Community Centre,203–205 Lyrebird Drive,CARRUM DOWNS VIC 3201,(03) 9782 0133
Old Courthouse Community Centre Inc,31 Henty Street,CASTERTON VIC 3311,(03) 5581 2139
Castlemaine and District Continuing Education Inc,30 Templeton Street,CASTLEMAINE VIC 3450,(03) 5472 3299
Castlemaine Community House,210 Barkers Road,CASTLEMAINE VIC 3450,(03) 5472 4842
Caulfield South Community House Inc,450 Kooyong Road,CAULFIELD SOUTH VIC 3162,(03) 9596 8643
Waverley Adult Literacy Program Inc,34 Amaroo Street,CHADSTONE VIC 3148,(03) 9807 2322
The Circle,33 High St ,CHARLTON VIC 3525,(03) 5491 1003
Longbeach PLACE Inc.,15 Chelsea road,CHELSEA VIC 3196,(03) 9776 1386
Cheltenham Community Centre,8 Chesterville Road,CHELTENHAM VIC 3192,(03) 9583 0095
Mind Australia,Suite 13 &amp; 14, 4-10 Jamieson Street,CHELTENHAM VIC 3192,(03) 8585 1000
SkillsPlus Ltd.,1236 Nepean Hwy,CHELTENHAM VIC 3192,(03) 8587 7600
Churchill Neighbourhood Centre Inc,9–11 Philip Parade,CHURCHILL VIC 3842,(03) 5122 2955
Dingley Village Neighbourhood Centre Inc,58 Viney St,CLARINDA VIC 3169,(03) 9558 1866
Cobram Community House Inc,43-45 Punt Road,COBRAM VIC 3644,(03) 5872 2224
Moreland Adult Education Association Inc,344 Sydney Road,COBURG VIC 3058,(03) 9383 7943
Robinson Reserve Neighbourhood House Inc,104A Reynard Street,COBURG VIC 3058,(03) 9386 7128
Jesuit Social Services Limited,1 Langridge Street,COLLINGWOOD VIC 3066,(03) 9415 8700
Corinella and District Community Centre,48 Smythe Street,CORINELLA VIC 3984,(03) 5678 0777
Corryong Neighbourhood Centre ,39 Hanson Street ,CORRYONG VIC 3707,(02) 6076 2176
Phillip Island Community and Learning Centre,56-58 Church Street,COWES VIC 3922,(03) 5952 1131
Craigieburn Education and Community Centre Inc,20 Selwyn Avenue,CRAIGIEBURN VIC 3064,(03) 9308 1477
Cranbourne Community House Inc,49 Valepark Crescent,CRANBOURNE VIC 3977,(03) 5996 2941
Merinda Park Learning and Community Centre,141-147 Endeavour Drive,CRANBOURNE NORTH VIC 3977,(03) 5996 9056
OzChild,38 Bakewell St,CRANBOURNE VIC 3199,(03) 5990 1200
Yooralla,93 Sladen Street,CRANBOURNE VIC 3977,(03) 9916 5842
Yarrunga Community Centre,76–86 Croydon Hills Drive,CROYDON HILLS VIC 3136,(03) 9722 8942
AMES,280 Thomas Street,DANDENONG VIC 3175,(03) 8791 2401
Australian Croatian Community Services,128-130 Walker Street,DANDENONG VIC 3175,(03) 9791 6000
Avocare Ltd,63 Robinson Street,DANDENONG VIC 3175,1300 665 756
Dandenong Neighbourhood House,34 King Street,DANDENONG VIC 3175,(03) 9792 5298
SkillsPlus Ltd.,44-48 Robinson Street,DANDENONG VIC 3175,(03) 9767 6900
Wellsprings for Women Inc,79 Langhorne Street,DANDENONG VIC 3175,(03) 9701 3740
Daylesford Neighbourhood Centre,13 Camp Street,DAYLESFORD VIC 3460,(03) 5348 3569
Living &amp; Learning Nillumbik (Diamond Creek),119 Cowin Street,DIAMOND CREEK VIC 3089,(03) 9433 3766
Dingley Village Neighbourhood Centre Inc,31B Marcus Road,DINGLEY VILLAGE VIC 3172,(03) 9558 1866
CELAS - Spanish Latin American Welfare Centre,80 Harbour Esplanade ,DOCKLANDS VIC 3008,(03) 9600 4633
Pines Learning,1/520 Blackburn Road,DONCASTER EAST VIC 3109,(03) 9842 6726
The Onemda Association Inc,123 Andersons Creek Road,DONCASTER EAST VIC 3109,(03) 9842 1955
Doveton Neighbourhood Learning Centre Inc,34 Oak Avenue,DOVETON VIC 3177,(03) 9791 1449
SpringDale Neighbourhood Centre,17-21 High Street,DRYSDALE VIC 3222,(03) 5253 1960
On Track Training and Employment – Future Employment Opportunities,12 Hall Street,EAGLEHAWK VIC 3556,(03) 5446 3477
Campaspe College of Adult Education,103-109 Hare Street,ECHUCA VIC 3564,(03) 5482 4601
Echuca Neighbourhood House Inc,261 High Street,ECHUCA VIC 3564,(03) 5482 6914
Kyabram Community Centre,24 Percy Street,ECHUCA VIC 3564,(03) 5480 6630
Mirrimbeena Aboriginal Education Group Inc,852 Bangarang Road,ECHUCA VIC 3564,(03) 5480 2752
Murray Human Services Inc,461 High St,ECHUCA VIC 3564,(03) 5480 6611
Living &amp; Learning Nillumbik (Eltham),739 Main Road,ELTHAM VIC 3095,(03) 9433 3744
ESNLC,87 Tennyson Street,ELWOOD VIC 3184,(03) 9531 1954
Emerald Community House,356-358 Belgrave-Gembrook Road,EMERALD VIC 3782,(03) 5968 3881
Endeavour Hills UnitingCare Neighbourhood Centre,10 Raymond McMahon Boulevard,ENDEAVOUR HILLS VIC 3802,(03) 9700 3789
Creeds Farm Living and Learning Centre Inc,2 Snugburgh Way,EPPING NORTH VIC 3076,(03) 9023 4606
Euroa Community Education Centre,46-50 Binney Street,EUROA VIC 3666,(03) 5795 2777
Mental Illness Fellowship Victoria,276 Heidelberg Road,FAIRFIELD VIC 3078,(03) 8486 4200
Mountain District Learning Centre,13–15 The Avenue,FERNTREE GULLY VIC 3156,(03) 9758 7859
Yooralla,77–79 Station Street,FERNTREE GULLY VIC 3156,(03) 9752 3316
Brotherhood of St Laurence,95-97 Brunswick Street,FITZROY VIC 3065,(03) 9288 9902
Fitzroy Learning Network Inc,198 Napier Street,FITZROY VIC 3065,(03) 9417 2897
Holden Street Neighbourhood House Inc.,128 Holden Street,NORTH FITZROY VIC 3068,(03) 9489 9929
Farnham Street Neighbourhood Learning Centre,28 Farnham Street,FLEMINGTON VIC 3031,(03) 9376 9088
AMES,289 Barkly Street,FOOTSCRAY VIC 3011,(03) 9687 3494
Angliss Neighbourhood House,2/11 Vipont Street,FOOTSCRAY VIC 3011,(03) 9687 9908
Australian Croatian Community Services,4–8 Parker Street,FOOTSCRAY VIC 3011,(03) 9689 5811
Footscray Community Arts Centre ,45 Moreland St ,FOOTSCRAY VIC 3011,(03) 9362 8809
The New Hope Foundation Inc,21 Victoria Street,FOOTSCRAY VIC 3011,(03) 9687 4500
WCIG - Westgate Community Initiatives Group Inc,Level 1, Cnr Albert &amp; Paisley Street,FOOTSCRAY VIC 3011,(03) 9689 3437
Western Bulldogs SpiritWest Services,417 Barkly Street,WEST FOOTSCRAY VIC 3011,1300 46 36 47
Foster and District Community House and Learning Centres Inc,Cnr Station Road &amp; Court Street,FOSTER VIC 3960,(03) 5682 1101
Brotherhood of St Laurence,24-26 High Street,FRANKSTON VIC 3199,(03) 8781 5900
Karingal Neighbourhood House,Karingal Place, 103 Ashleigh Ave ,FRANKSTON VIC 3199,(03) 8786 6650
Peninsula Access Support and Training Inc,Suite 1, Level 1, 108–120 Young Street ,FRANKSTON VIC 3199,(03) 9775 7333
SkillsPlus Ltd,Level 2, 54-58 Wells St,FRANKSTON VIC 3199,(03) 9781 3388
Advanced Career Training - St Laurence,229 Ryrie Street,GEELONG VIC 3220,(03) 5246 4500
Barwon Youth Education and Training Program,44 Spring Street,GEELONG WEST VIC 3218,(03) 5221 4466
Cloverdale Community Centre,167–169 Purnell Road,CORIO VIC 3214,(03) 5275 4415
Community Veracity Limited,31 Barwon Tce,SOUTH GEELONG VIC 3220,(03) 5221 2611
Diversitat,7–9 Ryan Place,GEELONG VIC 3220,(03) 5224 2329
Encompass Community Services ,400 Pakington St ,GEELONG VIC 3220,(03) 5222 3377
Geelong Regional Vocational Education Council,Suite 4, 265 Pakington Street,NEWTOWN VIC 3220,(03) 5222 8511
Karingal Training,285 Melbourne Road,NORTH GEELONG VIC 3215,(03) 5240 2100
Karingal Training,59-63 Spring Street,GEELONG WEST VIC 3218,(03) 5249 6390
Pathways Rehabilitation and Support Services ,61 Pakington Street,GEELONG WEST VIC 3218,(03 ) 5229 8295
Rosewall Neighbourhood Centre,36 Sharland Road,CORIO VIC 3214,(03) 5275 7409
YWCA Victoria Geelong,74–78 Little Malop Street,GEELONG VIC 3220,(03) 5221 6333
Macedon Ranges Further Education Centre Inc,Community Centre Hamilton Street,GISBORNE VIC 3437,(03) 5428 3799
Bestchance Training,583 Ferntree Gully Road,GLEN WAVERLEY VIC 3150,(03) 8562 5173
Wavlink Inc,36 Myrtle Street,GLEN WAVERLEY VIC 3150,(03) 9561 7104
Glenroy Neighbourhood Learning Centre Inc,5B Cromwell Street,GLENROY VIC 3046,(03) 9304 3910
CentaVic ESL Educational Services Inc,54 Maple Street,GOLDEN SQUARE VIC 3555,(0421) 693 979
Gormandale Community House and Learning Centre,32-34 Main Street,GORMANDALE VIC 3873,(03) 5197 7264
Diamond Valley Learning Centre,Cnr Diamond Creek &amp; St Helena Road,GREENSBOROUGH VIC 3088,(03) 9435 9060
Haddon Community Learning Centre,396 Sago Hill Road,HADDON VIC 3551,(03) 5342 7050
Hallam Community Learning Centre Inc,56 Kays Avenue,HALLAM VIC 3803,(03) 9703 1688
Southern Grampians Adult Education,89 Gray Street,HAMILTON VIC 3300,(03) 5571 9900
Vines Road Community Centre,37-61 Vines Road,HAMLYN HEIGHTS VIC 3215,(03) 5277 9027
Hampton Community Centre,14 Willis Street,HAMPTON VIC 3188,(03) 9598 2977
Hampton Park Community House,16-20 Stuart Avenue,HAMPTON PARK VIC 3976,(03) 9799 0708
Advance,Hastings Hub 1973 Frankston Flinders Rd ,HASTINGS VIC 3915,(03) 5986 4623
Hawthorn Community Education Centre,1st Floor, 584-586 Glenferrie Road,HAWTHORN VIC 3122,(03) 9819 5758
Healesville Living and Learning Centre,1 Badger Creek Road,HEALESVILLE VIC 3777,(03) 5962 5982
Employment Focus,1st floor, 73-75 Burgundy Street,HEIDELBERG VIC 3084,(03) 9450 5700
Olympic Adult Education,21 Alamein Road,HEIDELBERG WEST VIC 3081,(03) 9450 2665
Heyfield Community Resource Centre Inc, 5 George Street,HEYFIELD VIC 3858,(03) 5148 2100
Gateway BEET,75 Lascelles Street,HOPETOUN VIC 3396,(03) 5083 3001
Horsham Community House,4 Pearl Street,HORSHAM VIC 3400,(03) 5382 5352
Wimmera HUB,39 Urquhart Street,HORSHAM VIC 3400,(03) 5381 6701
Kangaroo Flat Community and Learning Centre,21 Woolcock Avenue,KANGAROO FLAT VIC 3555,(03) 5447 9687
LINK Neighbourhood House,50–52 Commercial Street,KANIVA VIC 3419,(03) 5392 2865
Kensington Neighbourhood House Inc,89 McCracken Street,KENSINGTON VIC 3031,(03) 9376 6366
Kerang Learning Centre Inc,11 Scoresby Street,KERANG VIC 3579,(03) 5452 2408
Kew Neighbourhood Learning Centre,2–12 Derby Street,KEW VIC 3101,(03) 9853 3126
Keysborough Learning Centre,402 Corrigan Road,KEYSBOROUGH VIC 3173,(03) 9798 7005
Kilmore &amp; District Community Group ,38 Victoria Pde ,KILMORE VIC 3764,(03) 5782 2319
Kinglake Ranges Neighbourhood House ,6 McMahons Road,KINGLAKE VIC 3763,(03) 5786 1301
South Kingsville Community Centre Inc,43 Paxton Street,SOUTH KINGSVILLE VIC 3015,(03) 9399 3000
Milpara Community House Inc,21 Shellcotts Road,KORUMBURRA VIC 3950,(03) 5655 2524
Kyabram Community Centre,107 Albion Street,KYABRAM VIC 3621,(03) 5852 0001
Kyabram Community Centre,21–25 Lake Road,KYABRAM VIC 3620,(03) 5852 0000
Kyneton Community and Learning Centre,34 Mollison Street,KYNETON VIC 3444,(03) 5422 3433
Lakes Entrance Neighbourhood House,9 Heatherlea Grove,LAKES ENTRANCE VIC 3909,(03) 5155 2277
Lalor Living and Learning Centre Inc,47A French Street,LALOR VIC 3075,(03 )9465 6409
Lancefield Neighbourhood House ,78 High St ,LANCEFIELD VIC 3435,(03) 5429 1214
Langwarrin Community Centre Inc,2 Lang Road,LANGWARRIN VIC 3910,(03) 9789 7653
Lara Community Centre Inc,9-11 Waverley Road,LARA VIC 3212,(03) 5282 2725
Laverton Community Education Centre,12 Crown Street,LAVERTON VIC 3028,(03) 9369 2726
Community College Gippsland,Nerrena Road,LEONGATHA VIC 3953,(03) 5662 6700
Long Gully Neighbourhood Centre ,Cnr Derwent &amp; Humboldt Drives,LONG GULLY VIC 3550,(03) 5442 1165
BATCH,Ted Ajani Reserve, 2/284 Thompsons Rd,LOWER TEMPLESTOWE VIC 3107,(03) 9850 3687
Australian Multicultural Community Services,Suite 111, 44-56 Hampstead Road,MAIDSTONE VIC 3012,(03) 9689 9170
Maldon Neighbourhood Centre Inc,Cnr Edwards &amp; Church Streets,MALDON VIC 3463,(03) 5475 2093
Mallacoota District Health and Support Service Inc,Corner Mattsson Street and Genoa Road,MALLACOOTA VIC 3892,(03) 5158 0243
Mansfield Adult Continuing Education Inc. (MACE),145–147 High Street,MANSFIELD VIC 3722,(03) 5775 2077
BRACE Education Training and Employment,87A Napier Street,MARYBOROUGH VIC 3465,(03) 5337 9000
Goldfields Employment and Learning Centre,88-90 Burke Street,MARYBOROUGH VIC 3465,(03) 5461 3185
Meadow Heights Learning Shop Inc,3–13 Hudson Circuit,MEADOW HEIGHTS VIC 3048,(03) 9301 9200
AMES,Level 3, 255 William Street,MELBOURNE VIC 3000,(03) 9926 4717
AMES,Level 4, 1 Little Collins Street,MELBOURNE VIC 3000,(03) 9938 4000
Centre for Adult Education,253 Flinders Lane,MELBOURNE VIC 3000,(03) 9652 0611
Yooralla,Level 2, 244 Flinders Street,MELBOURNE VIC 3000,(03) 9916 5842
Djerriwarrh Community &amp; Education Services,239 Station Road,MELTON VIC 3337,(03) 8746 1000
Melton South Community Centre Inc,26 Exford Road,MELTON SOUTH VIC 3338,(03) 9747 8576
Meredith Community Centre Inc,4 Russell Street,MEREDITH VIC 3333,(03) 5286 1348
East End Community House,8 Dove Place,MILDURA VIC 3502,(03) 5022 8497
MADEC Community College,133 Madden Avenue,MILDURA VIC 3500,(03) 5023 7233
Sunraysia Mallee Ethnic Communities Council ,38–40 Madden Ave, MILDURA VIC 3500,(03) 5022 1006
Mill Park Community House,68 Mill Park Drive,MILL PARK VIC 3082,(03) 9404 4565
Mitcham Community House Inc,19 Brunswick Road,MITCHAM VIC 3132,(03) 9873 4587
Gippsland Employment Skills Training Inc (GEST),7 Anzac Street,MOE VIC 3825,(03) 5127 4544
Moe Life Skills Community Centre Inc,2A High Street,MOE VIC 3825,(03) 5127 7999
Moe Neighbourhood House,1–11 James Street,MOE VIC 3825,(03) 5126 3123
Japara Neighbourhood House Inc,13 Leith Road,MONTROSE VIC 3765,(03) 9728 3587
JobCo Training,Suite 7, 12 Pascoe Vale Rd,MOONEE PONDS VIC 3039,(03) 9326 0322
TaskForce Community Agency,421 South Road,MOORABBIN VIC 3189,(03) 9532 0811
